Phenotype,HGNC
3-Methylcrotonyl-CoA carboxylase 1 deficiency,MCCC1
3-Methylcrotonyl-CoA carboxylase 2 deficiency,MCCC2
"[Blood group, Radin]",ERMAP
"[Blood group, Scianna system]",ERMAP
Holocarboxylase synthetase deficiency,HLCS
Biotinidase deficiency,BTD
Paroxysmal nonkinesigenic dyskinesia 1,PNKD
"Osteogenesis imperfecta, type XXI",KDELR2
"{Pseudofolliculitis barbae, susceptibility to}",KRT75
?Inflammatory bowel disease (Crohn disease) 30,CARD8
"Methylmalonic aciduria, mut(0) type",MMUT
Neutral lipid storage disease with myopathy,PNPLA2
{Wilms tumor susceptibility-5},POU6F2
?Combined oxidative phosphorylation deficiency 29,TXN2
Developmental and epileptic encephalopathy 100,FBXO28
"?Intellectual developmental disorder, autosomal recessive 45",FBXO31
Oocyte/zygote/embryo maturation arrest 12,FBXO43
Spermatogenic failure 64,FBXO43
Cerebral cavernous malformations-3,PDCD10
Neurodevelopmental disorder with poor growth and behavioral abnormalities,ATP9A
"Cleft palate, psychomotor retardation, and distinctive facial features",KDM1A
"?Neuronopathy, distal hereditary motor, autosomal dominant 12",REEP1
"Neuronopathy, distal hereditary motor, autosomal recessive 6",REEP1
"Spastic paraplegia 31, autosomal dominant",REEP1
"Ataxia, posterior column, with retinitis pigmentosa",FLVCR1
Neurodevelopmental disorder with central and peripheral motor dysfunction,NFASC
Chronic atrial and intestinal dysrhythmia,SGO1
"Microcephaly 4, primary, autosomal recessive",KNL1
D-2-hydroxyglutaric aciduria,D2HGDH
Glutaric aciduria III,SUGCT
"Trichothiodystrophy 4, nonphotosensitive",MPLKIP
Glucocorticoid deficiency 2,MRAP
Combined oxidative phosphorylation deficiency 2,MRPS16
Immunodeficiency 70,IVNS1ABP
"?Neutropenia, severe congenital, 11, autosomal dominant",SEC61A1
"Immunodeficiency, common variable, 15",SEC61A1
"Tubulointerstitial kidney disease, autosomal dominant, 5",SEC61A1
?Intellectual developmental disorder with short stature and variable skeletal anomalies,WIPI2
Neurodevelopmental disorder with spastic quadriplegia and brain abnormalities with or without seizures,WDR45B
Senior-Loken syndrome 5,IQCB1
Hypotrichosis 8,LPAR6
"Woolly hair, autosomal recessive 1, with or without hypotrichosis",LPAR6
Chudley-McCullough syndrome,GPSM2
Developmental and epileptic encephalopathy 73,RNF13
"Intellectual developmental disorder, autosomal recessive 2",CRBN
"?Microcephaly 24, primary, autosomal recessive",NUP37
Martsolf syndrome 1,RAB3GAP2
Warburg micro syndrome 2,RAB3GAP2
"Microcephaly 22, primary, autosomal recessive",NCAPD3
?Seckel syndrome 4,CENPJ
"Microcephaly 6, primary, autosomal recessive",CENPJ
Pulmonary venoocclusive disease 2,EIF2AK4
Legius syndrome,SPRED1
Noonan syndrome 14,SPRED2
"17-alpha-hydroxylase/17,20-lyase deficiency",CYP17A1
"17,20-lyase deficiency, isolated",CYP17A1
Erythrokeratodermia variabilis et progressiva 7,PERP
Olmsted syndrome 2,PERP
Developmental and epileptic encephalopathy 3,SLC25A22
Lynch syndrome 1,MSH2
Mismatch repair cancer syndrome 2,MSH2
"Orthostatic hypotension 1, due to DBH deficiency",DBH
"Ciliary dyskinesia, primary, 24",RSPH1
?Anencephaly 1,TRIM36
"Microcephaly 14, primary, autosomal recessive",SASS6
Gastrointestinal defects and immunodeficiency syndrome,TTC7A
Intrinsic factor deficiency,CBLIF
Retinitis pigmentosa 77,REEP6
"?Spastic paraplegia 72B, autosomal recessive",REEP2
"Spastic paraplegia 72A, autosomal dominant",REEP2
Juberg-Hayward syndrome,ESCO2
Roberts-SC phocomelia syndrome,ESCO2
Immunodeficiency 80 with or without cardiomyopathy,MCM10
Oocyte/zygote/embryo maturation arrest 18,NLRP2
Goldberg-Shprintzen megacolon syndrome,KIFBP
"Neuropathy, hereditary sensory, type IF",ATL3
Diets-Jongmans syndrome,KDM3B
"?Dyskeratosis congenita, autosomal dominant 6",ACD
"?Dyskeratosis congenita, autosomal recessive 7",ACD
"Microcephaly, epilepsy, and diabetes syndrome",IER3IP1
"Ichthyosis, congenital, autosomal recessive 6",NIPAL4
Atelis syndrome 2,SMC5
"?Polymicrogyria, bilateral temporooccipital",FIG4
Amyotrophic lateral sclerosis 11,FIG4
"Charcot-Marie-Tooth disease, type 4J",FIG4
Yunis-Varon syndrome,FIG4
Preeclampsia/eclampsia 4,STOX1
"Cockayne syndrome, type A",ERCC8
UV-sensitive syndrome 2,ERCC8
?De Sanctis-Cacchione syndrome,ERCC6
"{Macular degeneration, age-related, susceptibility to, 5}",ERCC6
Cerebrooculofacioskeletal syndrome 1,ERCC6
"Cockayne syndrome, type B",ERCC6
Premature ovarian failure 11,ERCC6
UV-sensitive syndrome 1,ERCC6
Corneal fleck dystrophy,PIKFYVE
?Immune dysregulation and systemic hyperinflammation syndrome,RC3H1
"Deafness, autosomal recessive 67",LHFPL5
"?Mitochondrial complex I deficiency, nuclear type 28",NDUFA13
"{Thyroid carcinoma, Hurthle cell}",NDUFA13
Abdominal obesity-metabolic syndrome 4,CELA2A
Lissencephaly 4 (with microcephaly),NDE1
Microhydranencephaly,NDE1
[Histidinemia],HAL
"Mannosidosis, alpha-, types I and II",MAN2B1
"Spastic paraplegia 46, autosomal recessive",GBA2
Centronuclear myopathy 6 with fiber-type disproportion,MAP3K20
Split-foot malformation with mesoaxial polydactyly,MAP3K20
"Mannosidosis, beta",MANBA
Cone-rod dystrophy 15,CDHR1
"Macular dystrophy, retinal",CDHR1
Retinitis pigmentosa 65,CDHR1
"Vitamin D-dependent rickets, type I",CYP27B1
Retinitis pigmentosa 31,TOPORS
"?Amyloidosis, primary localized cutaneous, 2",IL31RA
Frontotemporal dementia and/or amyotrophic lateral sclerosis 7,CHMP2B
"Neurodevelopmental disorder with severe motor impairment, absent language, cerebral hypomyelination, and brain atrophy",TAF8
"Dystonia 6, torsion",THAP1
Sjogren-Larsson syndrome,ALDH3A2
"?Epilepsy, familial adult myoclonic, 7",RAPGEF2
Coffin-Siris syndrome 6,ARID2
"?Intellectual developmental disorder, autosomal dominant 69",LMAN2L
"?Intellectual developmental disorder, autosomal recessive 52",LMAN2L
"Myasthenic syndrome, congenital, 22",PREPL
"Epilepsy, familial temporal lobe, 5",CPA6
"Febrile seizures, familial, 11",CPA6
DEGCAGS syndrome,ZNF699
VLCAD deficiency,ACADVL
3-M syndrome 1,CUL7
L-2-hydroxyglutaric aciduria,L2HGDH
"Anemia, sideroblastic, 3, pyridoxine-refractory",GLRX5
"Spasticity, childhood-onset, with hyperglycinemia",GLRX5
Noonan syndrome 8,RIT1
Palmoplantar hyperkeratosis and true hermaphroditism,RSPO1
Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal,RSPO1
Ectodermal dysplasia-syndactyly syndrome 1,NECTIN4
"Microcephaly and chorioretinopathy, autosomal recessive, 3",TUBGCP4
"Zinc deficiency, transient neonatal",SLC30A2
Singleton-Merten syndrome 2,RIGI
?Premature ovarian failure 15,FANCM
Spermatogenic failure 28,FANCM
Familial cold autoinflammatory syndrome 2,NLRP12
"Mitochondrial complex I deficiency, nuclear type 10",NDUFAF2
Oocyte/zygote/embryo maturation arrest 19,NLRP5
"Hydatidiform mole, recurrent, 1",NLRP7
"Glaucoma 1, open angle, G",WDR36
"?Anemia, hypochromic microcytic, with iron overload 2",STEAP3
?Trichotillomania,SLITRK1
Tourette syndrome,SLITRK1
Deafness and myopia,SLITRK6
"Dyskeratosis congenita, autosomal recessive 8",DCLRE1B
Cone-rod dystrophy and hearing loss 2,CEP250
Rajab interstitial lung disease with brain calcifications 1,FARSB
"Cardiomyopathy, familial hypertrophic, 28",FHOD3
Hawkinsinuria,HPD
"Tyrosinemia, type III",HPD
"?Charcot-Marie-Tooth disease, axonal, type 2V",NAGLU
Mucopolysaccharidosis type IIIB (Sanfilippo B),NAGLU
?Proteasome-associated autoinflammatory syndrome 4,PSMG2
[High density lipoprotein cholesterol level QTL 11],LPL
"Combined hyperlipidemia, familial",LPL
Lipoprotein lipase deficiency,LPL
"Adenosine triphosphate, elevated, of erythrocytes",PKLR
Pyruvate kinase deficiency,PKLR
Focal segmental glomerulosclerosis 9,CRB2
Ventriculomegaly with cystic kidney disease,CRB2
"Heterotaxy, visceral, 8, autosomal",PKD1L1
?Combined oxidative phosphorylation deficiency 25,MARS2
"Spastic ataxia 3, autosomal recessive",MARS2
?PEHO syndrome-like,CCDC88A
"Deafness, autosomal recessive 42",ILDR1
"Charcot-Marie-Tooth disease, axonal, type 2FF",CADM3
Mitchell syndrome,ACOX1
Peroxisomal acyl-CoA oxidase deficiency,ACOX1
"Deafness, autosomal recessive 28",TRIOBP
Hermansky-Pudlak syndrome 8,BLOC1S3
"Intellectual developmental disorder, autosomal dominant 65",KDM4B
"Ichthyosis, congenital, autosomal recessive 13",SDR9C7
"Spastic paraplegia 80, autosomal dominant",UBAP1
"Intellectual developmental disorder, autosomal recessive 64",LINGO1
"Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant",BICD2
"Spinal muscular atrophy, lower extremity-predominant, 2B, autosomal dominant",BICD2
"?Arthrogryposis, Perthes disease, and upward gaze palsy",NEK9
Lethal congenital contracture syndrome 10,NEK9
"Nevus comedonicus, somatic",NEK9
?Nephronophthisis 9,NEK8
Renal-hepatic-pancreatic dysplasia 2,NEK8
"[Skin/hair/eye pigmentation 4, fair/dark skin]",SLC24A5
"Albinism, oculocutaneous, type VI",SLC24A5
"Heterotaxy, visceral, 10, autosomal, with male infertility",CFAP52
"Porphyria, acute intermittent",HMBS
"Porphyria, acute intermittent, nonerythroid variant",HMBS
"{Multiple system atrophy, susceptibility to}",COQ2
"Coenzyme Q10 deficiency, primary, 1",COQ2
Hypophosphatemic rickets with hypercalciuria,SLC34A3
"Methylmalonic aciduria and homocystinuria, cblC type",MMACHC
"[Skin/hair/eye pigmentation 6, blond/brown hair]",SLC24A4
"[Skin/hair/eye pigmentation 6, blue/green eyes]",SLC24A4
"Amelogenesis imperfecta, type IIA5",SLC24A4
"?Intellectual developmental disorder, autosomal recessive 50",EDC3
"Sucrase-isomaltase deficiency, congenital",SI
"Cardiomyopathy, dilated, 2C",PPCS
Neurodegeneration with brain iron accumulation 6,COASY
"Pontocerebellar hypoplasia, type 12",COASY
?Spermatogenic failure 6,SPATA16
Iron-refractory iron deficiency anemia,TMPRSS6
Joubert syndrome 13,TCTN1
Leber congenital amaurosis 3,SPATA7
"Retinitis pigmentosa 94, variable age at onset, autosomal recessive",SPATA7
"Persistent hyperplastic primary vitreous, autosomal recessive",ATOH7
Bardet-Biedl syndrome 13,MKS1
Joubert syndrome 28,MKS1
Meckel syndrome 1,MKS1
?RHYNS syndrome,TMEM67
"{Bardet-Biedl syndrome 14, modifier of}",TMEM67
COACH syndrome 1,TMEM67
Joubert syndrome 6,TMEM67
Meckel syndrome 3,TMEM67
Nephronophthisis 11,TMEM67
?Spondylocostal dysostosis 6,RIPPLY2
"Ectodermal dysplasia 13, hair/tooth type",KREMEN1
?Megacystis-microcolon-intestinal hypoperistalsis syndrome 4,MYL9
Spermatogenic failure 51,CFAP91
Li-Ghorgani-Weisz-Hubshman syndrome,KAT8
"{Prostate cancer, hereditary, 12}",EHBP1
"Spastic paraplegia 53, autosomal recessive",VPS37A
Immunodeficiency-centromeric instability-facial anomalies syndrome 3,CDCA7
Combined oxidative phosphorylation deficiency 54,PRORP
Cerebellar ataxia and hypogonadotropic hypogonadism,RNF216
Spermatogenic failure 69,GGN
CIMDAG syndrome,VPS4A
"?Sudden cardiac failure, alcohol-induced",PPA2
"Sudden cardiac failure, infantile",PPA2
"Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly",CEP55
"Fibrosis of extraocular muscles, congenital, 5",COL25A1
"Intellectual developmental disorder, autosomal recessive 54",TNIK
"Usher syndrome, type IV",ARSG
"Mucopolysaccharidosis, type X",ARSK
"Muscular dystrophy, limb-girdle, autosomal dominant 2",TNPO3
Mucopolysaccharidosis-plus syndrome,VPS33A
"Neutropenia, severe congenital, 5, autosomal recessive",VPS45
"Hypomagnesemia 5, renal, with ocular involvement",CLDN19
Developmental and epileptic encephalopathy 57,KCNT2
Succinic semialdehyde dehydrogenase deficiency,ALDH5A1
"Microcephaly and chorioretinopathy, autosomal recessive, 1",TUBGCP6
"Intellectual developmental disorder, autosomal recessive 3",CC2D1A
"Intellectual developmental disorder, autosomal recessive 14",TECR
"Leukodystrophy, hypomyelinating, 11",POLR1C
Treacher Collins syndrome 3,POLR1C
"Ciliary dyskinesia, primary, 50",DNAH7
"Ciliary dyskinesia, primary, 16",DNAL1
Spermatogenic failure 39,DNAH17
"{Autoimmune disease, susceptibility to, 6}",SIAE
"?Microphthalmia, isolated, with coloboma 9",TENM3
"Microphthalmia, syndromic 15",TENM3
"Essential tremor, hereditary, 5",TENM4
"Short stature, brachydactyly, intellectual developmental disability, and seizures",PRMT7
Infantile liver failure syndrome 3,RINT1
Immunodeficiency 87 and autoimmunity,DEF6
Ovarian dysgenesis 4,MCM9
Galloway-Mowat syndrome 3,OSGEP
?Intestinal dysmotility syndrome,ANO1
?Moyamoya disease 7,ANO1
Dystonia 24,ANO3
Ectopia lentis et pupillae,ADAMTSL4
"Ectopia lentis, isolated, autosomal recessive",ADAMTSL4
"?Osteochondrodysplasia, brachydactyly, and overlapping malformed digits",CHST11
?Hypersulfaturia,SLC26A1
"?Nephrolithiasis, calcium oxalate, 1",SLC26A1
Caudal regression syndrome,VANGL1
?Bardet-Biedl syndrome 14,CEP290
Joubert syndrome 5,CEP290
Leber congenital amaurosis 10,CEP290
Meckel syndrome 4,CEP290
Senior-Loken syndrome 6,CEP290
Bardet-Biedl syndrome 10,BBS10
"Neuropathy, hereditary sensory, with spastic paraplegia",CCT5
Intellectual developmental disorder with short stature and behavioral abnormalities,IQSEC1
Spermatogenic failure 43,SPEF2
Joubert syndrome 23,KIAA0586
Short-rib thoracic dysplasia 14 with polydactyly,KIAA0586
"Diabetes mellitus, neonatal, with congenital hypothyroidism",GLIS3
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 11",B3GALNT2
Basel-Vanagait-Smirin-Yosef syndrome,MED25
"Corneal dystrophy, Fuchs endothelial, 4",SLC4A11
Corneal endothelial dystrophy and perceptive deafness,SLC4A11
"Corneal endothelial dystrophy, autosomal recessive",SLC4A11
"Congenital disorder of glycosylation, type IIv",EDEM3
"Deafness, autosomal recessive 59",PJVK
"Macrocephaly, alopecia, cutis laxa, and scoliosis",RIN2
Ovarian dysgenesis 5,SOHLH1
Spermatogenic failure 32,SOHLH1
?Seborrhea-like dermatitis with psoriasiform elements,ZNF750
"{Deafness, mitochondrial, modifier of}",TRMU
"Liver failure, transient infantile",TRMU
"Pulmonary hypertension, primary, 5",ATP13A3
Neurodevelopmental disorder with epilepsy and hypoplasia of the corpus callosum,LNPK
"Spastic paraplegia 33, autosomal dominant",ZFYVE27
?Halperin-Birk syndrome,SEC31A
"Ciliary dyskinesia, primary, 34",DNAJB13
Developmental delay with or without intellectual impairment or behavioral abnormalities,TAOK1
Developmental and epileptic encephalopathy 95,PIGS
?Paroxysmal nocturnal hemoglobinuria 2,PIGT
Multiple congenital anomalies-hypotonia-seizures syndrome 3,PIGT
Glycosylphosphatidylinositol deficiency,PIGM
Hyperphosphatasia with impaired intellectual development syndrome 1,PIGV
Glycosylphosphatidylinositol biosynthesis defect 11,PIGW
Immunodeficiency 9,ORAI1
"Myopathy, tubular aggregate, 2",ORAI1
Lipoyltransferase 1 deficiency,LIPT1
Fetal akinesia deformation sequence 3,DOK7
"Myasthenic syndrome, congenital, 10",DOK7
"{Colorectal cancer, susceptibility to, 1}",GALNT12
"Intellectual developmental disorder, autosomal recessive 48",SLC6A17
Insulinomatosis and diabetes mellitus,MAFA
Peters-plus syndrome,B3GLCT
Combined oxidative phosphorylation deficiency 13,PNPT1
"Deafness, autosomal recessive 70, with or without adult-onset neurodegeneration",PNPT1
Spinocerebellar ataxia 25,PNPT1
Aicardi-Goutieres syndrome 2,RNASEH2B
Aicardi-Goutieres syndrome 3,RNASEH2C
"Osteogenesis imperfecta, type VIII",P3H1
"Myopia, high, with cataract and vitreoretinal degeneration",P3H2
"Cataract 38, autosomal recessive",AGK
Sengers syndrome,AGK
Atelis syndrome 1,SLF2
"Intellectual developmental disorder, autosomal recessive 27",LINS1
CATIFA syndrome,RIC1
"{Breast-ovarian cancer, familial, susceptibility to, 5}",PALB2
"{Pancreatic cancer, susceptibility to, 3}",PALB2
"Fanconi anemia, complementation group N",PALB2
"?Macular degeneration, age-related, 6",RAX2
Cone-rod dystrophy 11,RAX2
Retinitis pigmentosa 95,RAX2
Oocyte/zygote/embryo maturation arrest 16,PADI6
?Oculomotor-abducens synkinesis,ACKR3
Immunodeficiency due to defect in MAPBP-interacting protein,LAMTOR2
Immunodeficiency 77,MPEG1
"Neurodevelopmental disorder with microcephaly, epilepsy, and brain atrophy",TRAPPC6B
Developmental and epileptic encephalopathy 66,PACS2
Tenorio syndrome,RNF125
"Microcephaly, short stature, and polymicrogyria with seizures",RTTN
Mucopolysaccharidosis type IIIC (Sanfilippo C),HGSNAT
Retinitis pigmentosa 73,HGSNAT
MIRAGE syndrome,SAMD9
Monosomy 7 myelodysplasia and leukemia syndrome 2,SAMD9
"Tumoral calcinosis, familial, normophosphatemic",SAMD9
"Neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies",SMPD4
"?Congenital disorder of glycosylation, type 1aa",NUS1
"Intellectual developmental disorder, autosomal dominant 55, with seizures",NUS1
"Deafness, autosomal recessive 121",GPR156
Congenital myopathy 11,HACD1
"Optic atrophy 10 with or without ataxia, impaired intellectual development and seizures",RTN4IP1
Craniolenticulosutural dysplasia,SEC23A
?Cowden syndrome 7,SEC23B
"Dyserythropoietic anemia, congenital, type II",SEC23B
Kufor-Rakeb syndrome,ATP13A2
"Spastic paraplegia 78, autosomal recessive",ATP13A2
D-glyceric aciduria,GLYCTK
Joubert syndrome 15,CEP41
Intellectual developmental disorder with autism and macrocephaly,CHD8
"Leukodystrophy, hypomyelinating, 5",HYCC1
"[Memory, enhanced, QTL]",WWC1
Al-Raqad syndrome,DCPS
"Fanconi anemia, complementation group T",UBE2T
"Hypermethioninemia, persistent, autosomal dominant, due to methionine adenosyltransferase I/III deficiency",MAT1A
"Methionine adenosyltransferase deficiency, autosomal recessive",MAT1A
"?Spinocerebellar ataxia, autosomal recessive 24",UBA5
Developmental and epileptic encephalopathy 44,UBA5
"Leukodystrophy, hypomyelinating, 14",UFM1
Neurodevelopmental disorder with spasticity and poor growth,UFC1
"Coenzyme Q10 deficiency, primary, 3",PDSS2
?Mirror movements 3,DNAL4
Paget disease of bone 6,ZNF687
"Deafness, autosomal recessive 49",MARVELD2
Anonychia congenita,RSPO4
?Humerofemoral hypoplasia with radiotibial ray deficiency,RSPO2
Tetraamelia syndrome 2,RSPO2
Immunodeficiency 93 and hypertrophic cardiomyopathy,FNIP1
Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency,FLAD1
Retinitis pigmentosa 36,PRCD
Immunodeficiency 55,GINS1
"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency",CYP11B1
"Aldosteronism, glucocorticoid-remediable",CYP11B1
"Angioedema, hereditary, 3",F12
Factor XII deficiency,F12
?Orofaciodigital syndrome XVII,INTU
?Short-rib thoracic dysplasia 20 with polydactyly,INTU
"Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures",ADPRS
"{Otitis media, susceptibility to}",A2ML1
?N-acetylaspartate deficiency,NAT8L
Developmental and epileptic encephalopathy 67,CUX2
"Dyskinesia, limb and orofacial, infantile-onset",PDE10A
Ritscher-Schinzel syndrome 1,WASHC5
"Spastic paraplegia 8, autosomal dominant",WASHC5
Congenital disorder of deglycosylation 1,NGLY1
Hyperphosphatasia with impaired intellectual development syndrome 6,PIGY
"Spastic paraplegia 56, autosomal recessive",CYP2U1
"Neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination",NACC1
Glycogen storage disease VII,PFKM
Bardet-Biedl syndrome 12,BBS12
3-hydroxyisobutryl-CoA hydrolase deficiency,HIBCH
Hydrolethalus syndrome,HYLS1
"Ciliary dyskinesia, primary, 45",TTC12
"?Epilepsy, familial adult myoclonic, 6",TNRC6A
Global developmental delay with speech and behavioral abnormalities,TNRC6B
"Microphthalmia, isolated, with coloboma 8",STRA6
"Microphthalmia, syndromic 9",STRA6
"Congenital disorder of glycosylation, type Im",DOLK
"?Dystonia 22, adult-onset",TSPOAP1
"Dystonia 22, juvenile-onset",TSPOAP1
"Heterotaxy, visceral, 9, autosomal, with male infertility",MNS1
{Inflammatory bowel disease (Crohn disease) 10},ATG16L1
Parenti-Mignot neurodevelopmental syndrome,CHD5
Developmental and epileptic encephalopathy 60,CNPY3
"Leukodystrophy, hypomyelinating, 26, with chondrodysplasia",SLC35B2
?Nephronophthisis-like nephropathy 2,SLC41A1
Schneckenbecken dysplasia,SLC35D1
"Ciliary dyskinesia, primary, 5",HYDIN
"Anemia, sideroblastic, 2, pyridoxine-refractory",SLC25A38
"Metabolic crises, recurrent, with variable encephalomyopathic features and neurologic regression",SLC25A42
"Neuropathy, hereditary motor and sensory, type VIB",SLC25A46
"Pontocerebellar hypoplasia, type 1E",SLC25A46
"Microcephaly 10, primary, autosomal recessive",ZNF335
"Intellectual developmental disorder, autosomal recessive 73",NAA20
"Amyotrophic lateral sclerosis 5, juvenile",SPG11
"Charcot-Marie-Tooth disease, axonal, type 2X",SPG11
"Spastic paraplegia 11, autosomal recessive",SPG11
Thrombocytopenia 2,ANKRD26
Immunodeficiency 58,CARMIL2
Glycogen storage disease IIIa,AGL
Glycogen storage disease IIIb,AGL
"Charcot-Marie-Tooth disease, dominant intermediate F",GNB4
Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome,FLVCR2
Spastic paraplegia and psychomotor retardation with or without seizures,HACE1
"Intellectual developmental disorder, autosomal dominant 51",KMT5B
"Cataract 31, multiple types",CHMP4B
Adams-Oliver syndrome 1,ARHGAP31
"?Amelogenesis imperfecta, type IIIB",AMTN
"Intellectual developmental disorder, autosomal recessive 5",NSUN2
Polyglucosan body myopathy 1 with or without immunodeficiency,RBCK1
"Candidiasis, familial, 9",IL17RC
Vesicoureteral reflux 3,SOX17
"Charcot-Marie-Tooth disease, axonal, type 2P",LRSAM1
Premature ovarian failure 5,NOBOX
?Phosphoserine aminotransferase deficiency,PSAT1
Neu-Laxova syndrome 2,PSAT1
?COACH syndrome 3,RPGRIP1L
Joubert syndrome 7,RPGRIP1L
Meckel syndrome 5,RPGRIP1L
Retinal dystrophy and iris coloboma with or without cataract,MIR204
"?Spinocerebellar ataxia, autosomal recessive 11",SYT14
Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation,DARS2
"Myopathy, lactic acidosis, and sideroblastic anemia 2",YARS2
"{Obesity, susceptibility to, BMIQ14}",FTO
"Growth retardation, developmental delay, facial dysmorphism",FTO
"Encephalopathy, progressive, early-onset, with episodic rhabdomyolysis",TRAPPC2L
"Neurodevelopmental disorder with epilepsy, spasticity, and brain atrophy",TRAPPC4
"Charcot-Marie-Tooth disease, dominant intermediate E",INF2
"Glomerulosclerosis, focal segmental, 5",INF2
Osteosclerotic metaphyseal dysplasia,LRRK1
3-M syndrome 2,OBSL1
Multiple mitochondrial dysfunctions syndrome 5,ISCA1
"Peripheral neuropathy with variable spasticity, exercise intolerance, and developmental delay",TRMT5
"Spastic paraplegia 35, autosomal recessive",FA2H
"[Uric acid concentration, serum, QTL4]",SLC17A3
{Gout susceptibility 4},SLC17A3
Combined oxidative phosphorylation deficiency 28,SLC25A26
Dursun syndrome,G6PC3
"Neutropenia, severe congenital 4, autosomal recessive",G6PC3
"?Deafness, autosomal dominant 44",CCDC50
"Epilepsy, early-onset, 2, with or without developmental delay",SETD1A
Neurodevelopmental disorder with speech impairment and dysmorphic facies,SETD1A
"Intellectual developmental disorder, autosomal recessive 61",RUSC2
Intellectual developmental disorder with seizures and language delay,SETD1B
"Intellectual developmental disorder, autosomal dominant 29",SETBP1
Schinzel-Giedion midface retraction syndrome,SETBP1
Raine syndrome,FAM20C
"Amelogenesis imperfecta, type IG (enamel-renal syndrome)",FAM20A
"?Maple syrup urine disease, mild variant",PPM1K
"Neurodevelopmental disorder with short stature, prominent forehead, and feeding difficulties",DPH5
"Ciliary dyskinesia, primary, 27",CCDC65
"{Centronuclear myopathy, autosomal, modifier of}",MTMR14
"Charcot-Marie-Tooth disease, recessive intermediate C",PLEKHG5
"Neuronopathy, distal hereditary motor, autosomal recessive 4",PLEKHG5
"Mitochondrial complex I deficiency, nuclear type 20",ACAD9
"Charcot-Marie-Tooth disease, type 4H",FGD4
PERCHING syndrome,KLHL7
Retinitis pigmentosa 42,KLHL7
"?Deafness, autosomal dominant 88",EPHA10
"Ceroid lipofuscinosis, neuronal, 7",MFSD8
Macular dystrophy with central cone involvement,MFSD8
You-Hoover-Fong syndrome,TELO2
Hypermanganesemia with dystonia 1,SLC30A10
Ziegler-Huang syndrome,SLC30A7
Spinocerebellar ataxia 10,ATXN10
"Xeroderma pigmentosum, group A",XPA
Ataxia-pancytopenia syndrome,SAMD9L
Monosomy 7 myelodysplasia and leukemia syndrome 1,SAMD9L
Spinocerebellar ataxia 49,SAMD9L
Short-rib thoracic dysplasia 2 with or without polydactyly,IFT80
[ER blood group system],PIEZO1
Dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema,PIEZO1
Lymphatic malformation 6,PIEZO1
KBG syndrome,ANKRD11
"Ceroid lipofuscinosis, neuronal, 4 (Kufs type), autosomal dominant",DNAJC5
?Spinocerebellar ataxia 40,CCDC88C
"Hydrocephalus, congenital, 1",CCDC88C
"Amelogenesis imperfecta, type IIIC",RELT
Osteootohepatoenteric syndrome,UNC45A
?Cataract 43,UNC45B
Myofibrillar myopathy 11,UNC45B
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2,AKT3
Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria),SUCLG1
"Osteogenesis imperfecta, type XIV",TMEM38B
?Al-Gazali-Bakalinova syndrome,KIF7
?Hydrolethalus syndrome 2,KIF7
Acrocallosal syndrome,KIF7
Joubert syndrome 12,KIF7
Cataract 36,TDRD7
"Neurodevelopmental disorder with microcephaly, cerebral atrophy, and visual impairment",DOHH
Developmental and epileptic encephalopathy 107,NAPB
"Cholestasis, progressive familial intrahepatic, 8",KIF12
?Meckel syndrome 12,KIF14
"Microcephaly 20, primary, autosomal recessive",KIF14
Cataract 48,DNMBP
"Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation",NHEJ1
"Cardiomyopathy, familial hypertrophic, 29, with polyglucosan bodies",KLHL24
"Epidermolysis bullosa simplex 6, generalized intermediate, with or without cardiomyopathy",KLHL24
"{Macular degeneration, age-related, 8}",ARMS2
Ataxia-oculomotor apraxia 3,PIK3R5
Nizon-Isidor syndrome,MED12L
Congenital myopathy 21 with early respiratory failure,DNAJB4
"Muscular dystrophy, limb-girdle, autosomal dominant 1",DNAJB6
Polycystic kidney disease 6 with or without polycystic liver disease,DNAJB11
"Neurodevelopmental disorder with cataracts, poor growth, and dysmorphic facies",INTS1
?Neurodevelopmental disorder with cerebellar hypoplasia and spasticity,INTS8
"Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities",INTS11
"Osteogenesis imperfecta, type XVIII",TENT5A
"Fanconi anemia, complementation group I",FANCI
"Intellectual developmental disorder, autosomal dominant, FRA12A type",DIP2B
Helsmoortel-van der Aa syndrome,ADNP
